职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
hr人事专员,4-7K,大专,经验不限,山东天汇信息技术,临沂,互联网,0-20人,,兰山区,人民广场,35.0638,118.337285,人力外包公司 公司人力资源部门 团队搭建经验 猎头经验 管理经验 高管招聘经验 房地产/建筑 汽车 电商 HRBP 接受实习/在校生投递,[],月薪,5500.0
人事专员,3-4K,高中,1年以内,河北圣元文化传媒,石家庄,文化艺术/娱乐,100-499人,不需要融资,桥西区,维明,38.001221,114.486617,无,"['全勤奖', '底薪加提成', '绩效奖金', '有无线网', '保底工资', '团建聚餐']",月薪,3500.0
人事专员hr,3-5K,大专,1-3年,鸿康生物,新乡,互联网,0-20人,不需要融资,红旗区,宝龙城市广场,35.296945,113.931846,公司人力资源部门 电商,"['带薪年假', '零食下午茶', '保底工资', '全勤奖', '底薪加提成', '生日福利', '节日福利', '员工旅游', '绩效奖金', '团建聚餐']",月薪,4000.0
人事招聘,3-4K,大专,1-3年,新保博,石家庄,其他行业,0-20人,未融资,新华区,新华路,38.04521,114.478915,不接受居家办公 公司人力资源部门,"['团建聚餐', '工龄奖', '保底工资', '底薪加提成', '年终奖', '绩效奖金', '五险一金']",月薪,3500.0
招人事专员,4-7K,大专,1-3年,闪派,济南,即时配送,500-999人,未融资,章丘区,银座商城,36.707715,117.533669,不接受居家办公 人力/财务/行政/法务 销售人事/销售从业经验 招聘与配置,"['年终奖', '全勤奖', '零食下午茶', '节日福利', '员工旅游']",月薪,5500.0
人事招聘专员/五险/工作轻松,3-4K,大专,1年以内,云晟法律咨询有限公司,石家庄,法律,20-99人,不需要融资,,,37.997801,114.531492,不接受居家办公 劳动关系办理 精通人力相关法规政策 招聘与配置 考勤管理 从0到1团队搭建经验 人力/财务/行政/法务 人力资源管理师持证 销售人事/销售从业经验 薪资核算 人事档案管理 销售 人力资源/管理类专业,"['高温补贴', '有无线网', '工龄奖', '团建聚餐', '绩效奖金', '员工旅游', '全勤奖', '零食下午茶', '底薪加提成', '节日福利', '通讯补贴', '生日福利']",月薪,3500.0
综合人事岗,5-7K,本科,1-3年,长沙市万学培训学校,长沙,培训/辅导机构,20-99人,,岳麓区,银盆岭,28.200409,112.956147,无,[],月薪,6000.0
hr主管,4-8K,大专,经验不限,云兴网络,石家庄,游戏,20-99人,不需要融资,桥西区,南长,38.034653,114.48095,人力资源规划 招聘与配置,"['保底工资', '意外险', '宿舍有空调', '包住', '节日福利', '生日福利', '团建聚餐', '零食下午茶', '工龄奖', '包吃', '全勤奖', '加班补助', '绩效奖金', '节假日加班费', '住房补贴', '餐补', '有无线网']",月薪,6000.0
招一个快乐的人事搭子 双休  到点下班,3-6K,大专,1-3年,石家庄华陆工程咨询,石家庄,其他生活服务,20-99人,,长安区,跃进,38.047059,114.521845,无,[],月薪,4500.0
人事经纪人,4-5K,学历不限,1-3年,驼羊传媒,石家庄,文化艺术/娱乐,0-20人,不需要融资,晋州市,晋州市中心城区,38.024609,115.073839,人力/财务/行政/法务 销售 市场/传媒/公关 互联网运营 销售人事/销售从业经验 互联网从业经验 人力资源/管理类专业,"['包住', '团建聚餐', '保底工资', '带薪年假', '节日福利', '生日福利', '绩效奖金']",月薪,4500.0
人事专员hr,5-8K,大专,1-3年,竞尧,金华,进出口贸易,0-20人,未融资,义乌市,世贸中心,29.325425,120.114249,绩效考核管理 不接受居家办公 从0到1团队搭建经验 人力/财务/行政/法务 制度制定及落地优化 招聘与配置 人力资源/管理类专业,"['绩效奖金', '员工旅游', '全勤奖', '工龄奖', '高温补贴', '带薪年假', '住房补贴', '保底工资', '零食下午茶', '餐补', '节日福利', '底薪加提成', '团建聚餐', '五险', '交通补助', '生日福利', '年终奖']",月薪,6500.0
